"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","paramset","quad"
"CC-CVN2_p36",441,106,0.240362811791383,77,0.174603174603175,364,29,393,0.174603174603175,0.825396825396825,0.273584905660377,2.52695345546283,0.907095020724608,2.68483056126433,0.726415094339623,0.174603174603175,0.281535648994515,9.53637868189343,"p36","CC-CVN2"
"CC-CVN2_p37",441,142,0.321995464852608,86,0.195011337868481,355,56,411,0.195011337868481,0.804988662131519,0.394366197183099,2.47891121242931,1.1095783454318,2.71590959049798,0.605633802816901,0.195011337868481,0.295025728987993,9.20567029802514,"p37","CC-CVN2"
"CC-CVN2_p38",441,157,0.356009070294785,89,0.201814058956916,352,68,420,0.201814058956916,0.798185941043084,0.43312101910828,2.55025653628325,1.16882036470273,2.80534301749345,0.56687898089172,0.201814058956916,0.297658862876254,9.42469171045551,"p38","CC-CVN2"
"CC-CVN2_p39",441,110,0.249433106575964,68,0.154195011337868,373,42,415,0.154195011337868,0.845804988662131,0.381818181818182,2.60724357808867,1.12384587204725,2.83914575525848,0.618181818181818,0.154195011337868,0.246823956442831,11.5027155231428,"p39","CC-CVN2"
"CC-CVN2_p40",441,98,0.222222222222222,68,0.154195011337868,373,30,403,0.154195011337868,0.845804988662131,0.306122448979592,2.5472633165346,1.04550103384201,2.75347468038614,0.693877551020408,0.154195011337868,0.252319109461967,10.9126680347656,"p40","CC-CVN2"
"CC-CVN2_p41",441,110,0.249433106575964,69,0.156462585034014,372,41,413,0.156462585034014,0.843537414965986,0.372727272727273,2.65660653433992,1.13608223319428,2.88933229637529,0.627272727272727,0.156462585034014,0.250453720508167,11.5363919949477,"p41","CC-CVN2"
"CC-CVN2_p42",441,85,0.192743764172336,66,0.149659863945578,375,19,394,0.149659863945578,0.850340136054422,0.223529411764706,2.52860339062908,0.854054226154359,2.66894056290376,0.776470588235294,0.149659863945578,0.250950570342205,10.6353237582377,"p42","CC-CVN2"
"CC-CVN2_p43",441,46,0.104308390022676,38,0.0861678004535147,403,8,411,0.0861678004535147,0.913832199546485,0.173913043478261,2.45176846123301,1.10439304597593,2.68902446762704,0.826086956521739,0.0861678004535147,0.15605749486653,17.2309857333469,"p43","CC-CVN2"
"CC-CVN2_p44",441,58,0.131519274376417,50,0.113378684807256,391,8,399,0.113378684807256,0.886621315192744,0.137931034482759,2.81961568250596,1.26128543954174,3.08886282586869,0.862068965517241,0.113378684807256,0.200400801603206,15.4134255010848,"p44","CC-CVN2"
"CC-CVN2_p45",441,41,0.0929705215419501,36,0.0816326530612245,405,5,410,0.0816326530612245,0.918367346938776,0.121951219512195,2.81310334170448,1.02096754219819,2.99264517330925,0.878048780487805,0.0816326530612245,0.149377593360996,20.0340968546536,"p45","CC-CVN2"
"CC-CVN2_p46",441,48,0.108843537414966,43,0.0975056689342404,398,5,403,0.0975056689342404,0.90249433106576,0.104166666666667,2.56535533885315,1.04254068014991,2.76910438307222,0.895833333333333,0.0975056689342404,0.175869120654397,15.7452563177014,"p46","CC-CVN2"
"CC-CVN2_p47",441,40,0.090702947845805,35,0.0793650793650794,406,5,411,0.0793650793650794,0.920634920634921,0.125,2.84521265292566,1.0598984991835,3.03621802065328,0.875,0.0793650793650794,0.145530145530146,20.8631552562032,"p47","CC-CVN2"
"CC-CVN2_p48",441,43,0.0975056689342404,41,0.0929705215419501,400,2,402,0.0929705215419501,0.90702947845805,0.0465116279069767,2.52907432223417,0.837703218882934,2.66420036977534,0.953488372093023,0.0929705215419501,0.169421487603306,15.7252802313569,"p48","CC-CVN2"
"CC-CVN2_p49",441,27,0.0612244897959184,24,0.054421768707483,417,3,420,0.054421768707483,0.945578231292517,0.111111111111111,2.68194127193137,1.12157577021498,2.90701585727051,0.888888888888889,0.054421768707483,0.102564102564103,28.3434046083874,"p49","CC-CVN2"
"CC-CVN2_p50",441,34,0.0770975056689342,32,0.072562358276644,409,2,411,0.072562358276644,0.927437641723356,0.0588235294117647,2.78555594155754,1.35482964796317,3.0975611823734,0.941176470588235,0.072562358276644,0.134736842105263,22.9897119004276,"p50","CC-CVN2"
"CC-CVN2_p51",441,25,0.0566893424036281,24,0.054421768707483,417,1,418,0.054421768707483,0.945578231292517,0.04,2.89414882297313,0.903226946379849,3.03181733060939,0.96,0.054421768707483,0.103004291845494,29.4338932513328,"p51","CC-CVN2"
"CC-CVN2_p52",441,32,0.072562358276644,30,0.0680272108843537,411,2,413,0.0680272108843537,0.931972789115646,0.0625,2.64681428465542,1.12574696683284,2.87627051766507,0.9375,0.0680272108843537,0.126849894291755,22.674599247593,"p52","CC-CVN2"
"CC-CVN2_p53",441,24,0.054421768707483,23,0.0521541950113379,418,1,419,0.0521541950113379,0.947845804988662,0.0416666666666667,2.83436726192595,0.952389740280367,2.99009765607562,0.958333333333333,0.0521541950113379,0.0989247311827957,30.225987175547,"p53","CC-CVN2"
"CC-CVN2_p54",441,30,0.0680272108843537,30,0.0680272108843537,411,0,411,0.0680272108843537,0.931972789115646,0,2.67521853269647,0.948342923208688,2.83833551534745,1,0.0680272108843537,0.127388535031847,22.2809337954775,"p54","CC-CVN2"
"CC-CVN2_p55",441,87,0.197278911564626,60,0.136054421768707,381,27,408,0.136054421768707,0.863945578231292,0.310344827586207,2.54868932723144,1.00312982709119,2.73899374529104,0.689655172413793,0.136054421768707,0.227272727272727,12.0515724792806,"p55","CC-CVN2"
"CC-CVN2_p56",441,130,0.294784580498866,89,0.201814058956916,352,41,393,0.201814058956916,0.798185941043084,0.315384615384615,2.60230334329612,1.1837617813801,2.85889395493892,0.684615384615385,0.201814058956916,0.311733800350263,9.17094633859621,"p56","CC-CVN2"
