"src","pair_id","treeID","obs","pred","Zobs","Xobs","Yobs","Zpred","Xpred","Ypred","dxy","dz","dxyz","site"
0,50,5058,NA,117,5.4,327967.200374229,4310000.08326649,3.89,327967.75,4310001.75,1.75501826011441,1.51,2.31520821813827,"SG-SWR1"
0,NA,5086,NA,NA,5.4,327958.784604891,4309996.95875948,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,40,5188,NA,207,5.4,327982.875173977,4309985.43414492,4.989,327983.25,4309987.75,2.3459921772321,0.411,2.38172212813212,"SG-SWR1"
0,34,5034,NA,53,5.3,327976.00347165,4310010.87780126,5.889,327973.75,4310010.75,2.25709274111528,0.589,2.33267842661505,"SG-SWR1"
0,NA,5030,NA,NA,5.2,327973.353394057,4310008.30801828,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,30,5101,NA,165,5.2,327951.545257177,4309991.49615986,6.553,327951.25,4309993.75,2.27309748336035,1.353,2.64529415545023,"SG-SWR1"
0,85,5102,NA,210,5.2,327953.250184784,4309989.57549825,6.582,327950.25,4309987.25,3.79592555608219,1.382,4.03967508932561,"SG-SWR1"
0,NA,5158,NA,NA,5.2,327986.491801838,4309999.17578832,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5171,NA,NA,5.1,327981.220841732,4309999.99717168,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,83,5093,NA,156,5,327950.433569054,4309994.92841986,7.033,327950.25,4309995.75,0.841838180554988,2.033,2.20040462693572,"SG-SWR1"
0,NA,5043,NA,NA,4.9,327977.585848435,4310005.55085605,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,86,5104,NA,166,4.9,327951.254368599,4309992.92237224,6.094,327953.75,4309993.75,2.62928579714073,1.194,2.88769454808606,"SG-SWR1"
0,31,5113,NA,235,4.9,327953.918610225,4309983.17549847,6.544,327954.25,4309984.25,1.12444329576568,1.644,1.99176020780424,"SG-SWR1"
0,44,5137,NA,150,4.9,327980.139666398,4309997.78722602,4.311,327979.75,4309996.25,1.58584480301813,0.589,1.69169286197572,"SG-SWR1"
0,NA,5036,NA,NA,4.8,327976.77652481,4310006.95575075,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5085,NA,NA,4.8,327958.57953526,4309997.16503882,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5088,NA,NA,4.8,327958.302745091,4309993.61763442,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,91,5091,NA,157,4.8,327953.481421865,4309995.75188188,4.924,327952.75,4309995.75,0.731424285641887,0.124000000000001,0.741860826319024,"SG-SWR1"
