"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"CC-CVN2_p68",441,51,0.115646258503401,45,0.102040816326531,396,6,402,0.102040816326531,0.897959183673469,0.117647058823529,2.76145886055728,1.80317312288951,3.29804310912721,0.882352941176471,0.102040816326531,0.182926829268293,18.0293023298954,"CC-CVN2","p68"
"CC-CVN2_p69",441,38,0.0861678004535147,33,0.0748299319727891,408,5,413,0.0748299319727891,0.925170068027211,0.131578947368421,2.95004236064143,1.99013479062311,3.55856521851537,0.868421052631579,0.0748299319727891,0.137787056367432,25.8265566616495,"CC-CVN2","p69"
"CC-CVN2_p70",441,49,0.111111111111111,43,0.0975056689342404,398,6,404,0.0975056689342404,0.90249433106576,0.122448979591837,2.72820242200589,1.84264088161656,3.29217464209349,0.877551020408163,0.0975056689342404,0.175510204081633,18.757739239835,"CC-CVN2","p70"
"CC-CVN2_p71",441,38,0.0861678004535147,33,0.0748299319727891,408,5,413,0.0748299319727891,0.925170068027211,0.131578947368421,2.95004236064143,1.99013479062311,3.55856521851537,0.868421052631579,0.0748299319727891,0.137787056367432,25.8265566616495,"CC-CVN2","p71"
"CC-CVN2_p72",441,48,0.108843537414966,42,0.0952380952380952,399,6,405,0.0952380952380952,0.904761904761905,0.125,2.75862616714074,1.8635111764521,3.32906777263478,0.875,0.0952380952380952,0.171779141104294,19.3799302478382,"CC-CVN2","p72"
"CC-CVN2_p73",441,36,0.0816326530612245,32,0.072562358276644,409,4,413,0.072562358276644,0.927437641723356,0.111111111111111,2.95356954084519,2.01978478896886,3.57814248267987,0.888888888888889,0.072562358276644,0.134171907756813,26.6683431912234,"CC-CVN2","p73"
"CC-CVN2_p74",441,44,0.0997732426303855,38,0.0861678004535147,403,6,409,0.0861678004535147,0.913832199546485,0.136363636363636,2.82995916765987,1.92470986193545,3.42245189056818,0.863636363636364,0.0861678004535147,0.156701030927835,21.8406469332312,"CC-CVN2","p74"
"CC-CVN2_p75",441,35,0.0793650793650794,31,0.0702947845804989,410,4,414,0.0702947845804989,0.929705215419501,0.114285714285714,3.04884917182799,2.04154096606682,3.66924662412943,0.885714285714286,0.0702947845804989,0.130252100840336,28.1703450497679,"CC-CVN2","p75"
"CC-CVN2_p76",441,42,0.0952380952380952,36,0.0816326530612245,405,6,411,0.0816326530612245,0.918367346938776,0.142857142857143,2.84686618470143,1.96952863086013,3.46174668359403,0.857142857142857,0.0816326530612245,0.149068322981366,23.22255066911,"CC-CVN2","p76"
"CC-CVN2_p77",441,35,0.0793650793650794,31,0.0702947845804989,410,4,414,0.0702947845804989,0.929705215419501,0.114285714285714,3.04884917182799,2.04154096606682,3.66924662412943,0.885714285714286,0.0702947845804989,0.130252100840336,28.1703450497679,"CC-CVN2","p77"
"CC-CVN2_p78",441,41,0.0929705215419501,35,0.0793650793650794,406,6,412,0.0793650793650794,0.920634920634921,0.146341463414634,2.86777013773903,1.92043930242164,3.45140444995851,0.853658536585366,0.0793650793650794,0.145228215767635,23.7653849268572,"CC-CVN2","p78"
"CC-CVN2_p79",441,27,0.0612244897959184,25,0.0566893424036281,416,2,418,0.0566893424036281,0.943310657596372,0.0740740740740741,3.11043908721341,2.09381692609454,3.74952005398891,0.925925925925926,0.0566893424036281,0.106837606837607,35.0955077053362,"CC-CVN2","p79"
"CC-CVN2_p80",441,40,0.090702947845805,35,0.0793650793650794,406,5,411,0.0793650793650794,0.920634920634921,0.125,2.86777013773903,1.92043930242164,3.45140444995851,0.875,0.0793650793650794,0.145530145530146,23.7160791490006,"CC-CVN2","p80"
"CC-CVN2_p81",441,27,0.0612244897959184,25,0.0566893424036281,416,2,418,0.0566893424036281,0.943310657596372,0.0740740740740741,3.11043908721341,2.09381692609454,3.74952005398891,0.925925925925926,0.0566893424036281,0.106837606837607,35.0955077053362,"CC-CVN2","p81"
"CC-CVN2_p82",441,36,0.0816326530612245,32,0.072562358276644,409,4,413,0.072562358276644,0.927437641723356,0.111111111111111,2.95804961375668,2.02419903912634,3.58433247166695,0.888888888888889,0.072562358276644,0.134171907756813,26.7144779528927,"CC-CVN2","p82"
"CC-CVN2_p83",441,27,0.0612244897959184,25,0.0566893424036281,416,2,418,0.0566893424036281,0.943310657596372,0.0740740740740741,3.11043908721341,2.09381692609454,3.74952005398891,0.925925925925926,0.0566893424036281,0.106837606837607,35.0955077053362,"CC-CVN2","p83"
"CC-CVN2_p84",441,36,0.0816326530612245,32,0.072562358276644,409,4,413,0.072562358276644,0.927437641723356,0.111111111111111,2.95804961375668,2.02419903912634,3.58433247166695,0.888888888888889,0.072562358276644,0.134171907756813,26.7144779528927,"CC-CVN2","p84"
"CC-CVN2_p85",441,26,0.0589569160997732,24,0.054421768707483,417,2,419,0.054421768707483,0.945578231292517,0.0769230769230769,3.02695401255809,2.05319186471536,3.65760132155964,0.923076923076923,0.054421768707483,0.102783725910064,35.585412857674,"CC-CVN2","p85"
"CC-CVN2_p86",441,32,0.072562358276644,30,0.0680272108843537,411,2,413,0.0680272108843537,0.931972789115646,0.0625,2.99823367486271,2.04385657520287,3.62860232997235,0.9375,0.0680272108843537,0.126849894291755,28.605481701282,"CC-CVN2","p86"
"CC-CVN2_p87",441,25,0.0566893424036281,23,0.0521541950113379,418,2,420,0.0521541950113379,0.947845804988662,0.08,3.03932922525299,2.05504917956597,3.66888937826036,0.92,0.0521541950113379,0.0987124463519313,37.1674445710724,"CC-CVN2","p87"
"CC-CVN2_p88",441,32,0.072562358276644,30,0.0680272108843537,411,2,413,0.0680272108843537,0.931972789115646,0.0625,2.99823367486271,2.04385657520287,3.62860232997235,0.9375,0.0680272108843537,0.126849894291755,28.605481701282,"CC-CVN2","p88"
"CC-CVN2_p89",441,24,0.054421768707483,22,0.0498866213151927,419,2,421,0.0498866213151927,0.950113378684807,0.0833333333333333,3.09876693607629,2.00510048489981,3.69090564477949,0.916666666666667,0.0498866213151927,0.0946236559139785,39.0061619277832,"CC-CVN2","p89"
"CC-CVN2_p90",441,32,0.072562358276644,30,0.0680272108843537,411,2,413,0.0680272108843537,0.931972789115646,0.0625,2.99823367486271,2.04385657520287,3.62860232997235,0.9375,0.0680272108843537,0.126849894291755,28.605481701282,"CC-CVN2","p90"
"CC-CVN2_p91",441,24,0.054421768707483,22,0.0498866213151927,419,2,421,0.0498866213151927,0.950113378684807,0.0833333333333333,3.09876693607629,2.00510048489981,3.69090564477949,0.916666666666667,0.0498866213151927,0.0946236559139785,39.0061619277832,"CC-CVN2","p91"
"CC-CVN2_p92",441,32,0.072562358276644,30,0.0680272108843537,411,2,413,0.0680272108843537,0.931972789115646,0.0625,2.99823367486271,2.04385657520287,3.62860232997235,0.9375,0.0680272108843537,0.126849894291755,28.605481701282,"CC-CVN2","p92"
"CC-CVN2_p93",441,23,0.0521541950113379,21,0.0476190476190476,420,2,422,0.0476190476190476,0.952380952380952,0.0869565217391304,3.0743018457819,2.04521526402246,3.69245681290499,0.91304347826087,0.0476190476190476,0.0905172413793103,40.7928562187599,"CC-CVN2","p93"
"CC-CVN2_p94",441,32,0.072562358276644,30,0.0680272108843537,411,2,413,0.0680272108843537,0.931972789115646,0.0625,2.99823367486271,2.04385657520287,3.62860232997235,0.9375,0.0680272108843537,0.126849894291755,28.605481701282,"CC-CVN2","p94"
"CC-CVN2_p95",441,23,0.0521541950113379,21,0.0476190476190476,420,2,422,0.0476190476190476,0.952380952380952,0.0869565217391304,3.0743018457819,2.04521526402246,3.69245681290499,0.91304347826087,0.0476190476190476,0.0905172413793103,40.7928562187599,"CC-CVN2","p95"
"CC-CVN2_p96",441,31,0.0702947845804989,29,0.0657596371882086,412,2,414,0.0657596371882086,0.934240362811791,0.0645161290322581,3.00370888230667,2.07750236316725,3.65216143107249,0.935483870967742,0.0657596371882086,0.122881355932203,29.7210378528658,"CC-CVN2","p96"
"CC-CVN2_p97",441,22,0.0498866213151927,20,0.0453514739229025,421,2,423,0.0453514739229025,0.954648526077097,0.0909090909090909,3.12829264632327,2.09563582236991,3.76535581068247,0.909090909090909,0.0453514739229025,0.0863930885529158,43.5839935086496,"CC-CVN2","p97"
"CC-CVN2_p98",441,30,0.0680272108843537,28,0.0634920634920635,413,2,415,0.0634920634920635,0.936507936507937,0.0666666666666667,3.01011754918175,2.10112172422256,3.67090181834001,0.933333333333333,0.0634920634920635,0.118895966029724,30.8749063649668,"CC-CVN2","p98"
